"KEY","C","F","H","Time"
"-M_uywtG33YD8W8lDpze","32","89.599998","49","1621285791"
"-M_uyxErSkX-UFUfANYC","32","89.599998","49","1621285793"
"-M_uyxaOFgBnvyc-lFKJ","32","89.599998","49","1621285794"
"-M_uyxwtzMWNdL6Ks6UN","32","89.599998","49","1621285796"
"-M_uyyIQ2oq68gRQIEaD","32","89.599998","49","1621285797"
"-M_uyydvHmyDwOJJB_Xg","32","89.599998","49","1621285798"
"-M_uyz-RLIcKUD30RZCi","32","89.599998","49","1621285800"
"-M_uyzLxZWZsRcfdSrOR","32","89.599998","49","1621285801"
"-M_uyzhSQUXyDZ68vQzp","32","89.599998","49","1621285803"
"-M_uz-2wfHDiM-YxCYq2","32","89.599998","49","1621285804"
"-M_uz-PSIbnvpH5DB6Hg","32","89.599998","49","1621285806"
"-M_uz-kwj4OfMM655P9V","32","89.599998","49","1621285807"
"-M_uz06SIzrN_5Lt5ga5","32","89.599998","49","1621285809"
"-M_uz0SzpT4NRSa3NTwS","32","89.599998","49","1621285810"
"-M_uz0oWz0xLfNlE8D_k","32","89.599998","49","1621285811"
"-M_uz1A1q391_PbU7U3g","32","89.599998","49","1621285813"
"-M_uz1pKFQWETpv1__sS","32","89.599998","49","1621285814"
"-M_uz2CZ15z8cBURfLB8","32","89.599998","49","1621285817"
"-M_uz2Z780z9wMZIPWgA","32","89.599998","49","1621285819"
"-M_uz2udSMTHcM3qkzQl","32","89.599998","49","1621285820"
"-M_uz3GDdFdfoB7HN1EF","32","89.599998","49","1621285821"
"-M_uz3bjMIhywLz_6td0","32","89.599998","49","1621285823"
"-M_uz3yJ6cnXptt4qrfI","32","89.599998","49","1621285824"
"-M_uz4JogUFfWXodCq1K","32","89.599998","49","1621285826"
"-M_uz4fLdn8TwULwxU3Z","32","89.599998","49","1621285827"
"-M_uz50sq-GMIvRgYVV2","32","89.599998","49","1621285829"
"-M_uz5NOa8KM7AyjTKyU","32","89.599998","49","1621285830"
"-M_uz5iwygqImQtdEQNT","32","89.599998","49","1621285832"
"-M_uz655C2TkseQpnDhO","32","89.599998","49","1621285833"
"-M_uz6RcTR0q8tLVuvo5","32","89.599998","49","1621285834"
"-M_uz6nAvhocKYeRnu2k","32","89.599998","49","1621285835"
"-M_uz78h9O4rV_xeuLWw","32","89.599998","49","1621285837"
"-M_uz7VG6K8uPlD8AieH","32","89.599998","49","1621285838"
"-M_uz8BkUw03t_FqlnAI","32","89.599998","49","1621285840"
"-M_uz8YIl34pPUzZ-06k","32","89.599998","49","1621285843"
"-M_uz8tp4cO-QyDbo3p8","32","89.599998","49","1621285844"
"-M_uz9FN52rdiQ6ELqZW","32","89.599998","49","1621285846"
"-M_uz9auJgvW00EqVSJ2","32","89.599998","49","1621285847"
"-M_uz9xUFAU9XYb-UMHS","32","89.599998","49","1621285848"
"-M_uzAJ0Vqb9P1SQ8GM3","32","89.599998","49","1621285850"
"-M_uzAeZt3t8yv3pZcZ4","32","89.599998","49","1621285851"
"-M_uzB08fol7CJn2O57m","32","89.599998","49","1621285853"
"-M_uzBMj1MnRxtdd5-m6","32","89.599998","49","1621285854"
"-M_uzBiJZdYhsTmu8nDc","32","89.599998","49","1621285856"
"-M_uzC3tcBHcEbzkMaT3","32","89.599998","49","1621285857"
"-M_uzCQQ5L6-admTMwq-","32","89.599998","49","1621285858"
"-M_uzCm1UnpvWdWh7P_4","32","89.599998","49","1621285860"
"-M_uzD7di00EZOnRkiZc","32","89.599998","49","1621285861"
"-M_uzDUElNnjmE777pwa","32","89.599998","49","1621285863"
"-M_uzDpmXIHPUFW6bcjD","32","89.599998","49","1621285864"
"-M_uzEBMpxMWe41Ue2Uk","32","89.599998","49","1621285866"
"-M_uzEXvkXCxMcI0Armt","32","89.599998","49","1621285867"
"-M_uzEtWNIyR5TyEq9ck","32","89.599998","49","1621285869"
"-M_uzFF3zQjLOiUxygI0","32","89.599998","49","1621285870"
"-M_uzFwhupTCEupKE-pp","32","89.599998","49","1621285872"
"-M_uzGIAZykpLMG2tZ8d","32","89.599998","49","1621285874"
"-M_uzGdcaA5yopwQaT0G","32","89.599998","49","1621285876"
"-M_uzH-4mcDHaxctOGzP","32","89.599998","49","1621285877"
"-M_uzHLXziGiVCOiHhrt","32","89.599998","49","1621285879"
"-M_uzHgyD5QQHhBxj81R","32","89.599998","49","1621285880"
"-M_uzI2NYo1SYRuK5jh4","32","89.599998","49","1621285882"
"-M_uzIOqY5Mwb2VdyQQ8","32","89.599998","49","1621285883"
"-M_uzIkHbOoIhNqj3U1d","32","89.599998","49","1621285884"
"-M_uzJ5kFpaBcLfPp005","32","89.599998","49","1621285886"
"-M_uzJSDLMjEZV46WbqQ","32","89.599998","49","1621285887"
"-M_uzK4hlQsI9skd-c6D","32","89.599998","49","1621285889"
"-M_uzKSSvBNrxqrskXkG","32","89.599998","49","1621285891"
"-M_uzKoZ9_SCJTdtngMl","32","89.599998","49","1621285894"
"-M_uzL9zzLFgnp-wXTDM","32","89.599998","49","1621285895"
"-M_uzLWQAVHI0ynpc1cJ","32","89.599998","49","1621285896"
"-M_uzLrpVcRiA1I5JFJ9","32","89.599998","49","1621285898"
"-M_uzMDHRmwu1p2XSYII","32","89.599998","49","1621285899"
"-M_uzMZihq9aumic5v3-","32","89.599998","49","1621285901"
"-M_uzMvCooxfo_1LjB-0","32","89.599998","49","1621285902"
"-M_uzNGgMwjhKMGGf3GJ","32","89.599998","49","1621285904"
"-M_uzNc9N_Q-MJKKSpjE","32","89.599998","49","1621285905"
"-M_uzNychnszfFaWvxM-","32","89.599998","49","1621285906"
"-M_uzOK4XHDbjBp_5pwO","32","89.599998","49","1621285908"
"-M_uzOfYSaiVE5L_xmS2","32","89.599998","49","1621285909"
"-M_uzP108u1pJteVoOxa","32","89.599998","49","1621285911"
"-M_uzPNSjHWRNjjgbDjT","32","89.599998","49","1621285912"
"-M_uzPj-9k4TZC3J2RU2","32","89.599998","49","1621285914"
"-M_uzQ4SXdlrKROuCkZK","32","89.599998","49","1621285915"
"-M_uzQQvhlaThPM24chc","32","89.599998","49","1621285917"
"-M_uzQmNanNn-YE-u5dI","32","89.599998","49","1621285918"
"-M_uzR7oDnDdt3ITx658","32","89.599998","49","1621285919"
"-M_uzRUEYf6XC2yi0JGG","32","89.599998","49","1621285921"
"-M_uzRpgvhgNzUvwCJVo","32","89.599998","49","1621285922"
"-M_uzSB7lH8SYu87LCCb","32","89.599998","49","1621285924"
"-M_uzSX_jwXU_-39knoo","32","89.599998","49","1621285925"
"-M_uzSt0dReGplyXmyyJ","32","89.599998","49","1621285927"
"-M_uzTEV_oVac-fQypPz","32","89.599998","49","1621285928"
"-M_uzT_z-4z9F71101ko","32","89.599998","49","1621285929"
"-M_uzTwQw0JloJn7vt35","32","89.599998","49","1621285931"
"-M_uzUHqGno8eV7ryuog","32","89.599998","49","1621285932"
"-M_uzUdLQb5utonJH7GB","32","89.599998","49","1621285934"
"-M_uzUzlYuC2W1VXJopm","32","89.599998","49","1621285935"
"-M_uzVLD3mIYj6YfA1uV","32","89.599998","49","1621285937"
"-M_uzVgdq45b30xbNvim","32","89.599998","49","1621285938"
"-M_uzW27PJexBapG2JTe","32","89.599998","49","1621285940"
"-M_uzWOaydNOiM6Lcm2I","32","89.599998","49","1621285941"
"-M_uzWk16MgGQxy3-is7","32","89.599998","49","1621285942"
"-M_uzX5_WeNxShplW8kH","32","89.599998","49","1621285944"
"-M_uzXS1D1AZfUS8Vlkb","32","89.599998","49","1621285945"
"-M_uzXnUj7bLKiAtinsv","32","89.599998","49","1621285947"
"-M_uzY8xnyWq9YQFpKNO","32","89.599998","49","1621285948"
"-M_uzYVP-ooHOkeomF-9","32","89.599998","49","1621285950"
"-M_uzYqtzTXo5icdLr4Z","32","89.599998","49","1621285951"
"-M_uzZCKmG14pv4J1yWa","32","89.599998","49","1621285952"
"-M_uzZZTPKp6EulJx6ZH","32","89.599998","49","1621285954"
"-M_uzZuvCh353EZZXw6H","32","89.599998","49","1621285955"
"-M_uz_GMtqaUp_DUzF-_","32","89.599998","49","1621285956"
"-M_uz_bnBWwHVuJvkp7I","32","89.599998","49","1621285958"
"-M_uz_yF6zryALU6ElWe","32","89.599998","49","1621285959"
"-M_uzaJgXhfcLOLBVWfa","32","89.599998","49","1621285961"
"-M_uzafAPPxiuHC5floY","32","89.599998","49","1621285962"
"-M_uzb0dbsY8Wl8UOOpa","32","89.599998","49","1621285964"
"-M_uzbN5ecfDOpkyhucn","32","89.599998","49","1621285965"
"-M_uzbiZumox9PPIphF_","32","89.599998","49","1621285966"
"-M_uzc4-XKhti_ncuVIq","32","89.599998","49","1621285968"
"-M_uzcQQZtYuC0WAuPWF","32","89.599998","49","1621285969"
"-M_uzclqduPipvhmfhFP","32","89.599998","49","1621285971"
"-M_uzd7HssYudm8AfPOQ","32","89.599998","49","1621285972"
"-M_uzdTjDn9aeWxgPyaz","32","89.599998","49","1621285974"
"-M_uzdpBjBl0zINeAwUR","32","89.599998","49","1621285975"
"-M_uzeAdCYItMloraTrh","32","89.599998","49","1621285977"
"-M_uzeX4YLI8P_FmF0pi","32","89.599998","49","1621285978"
"-M_uzesVTnzNSSvsBH3y","32","89.599998","49","1621285979"
"-M_uzfDyRzJaHzuYgKVi","32","89.599998","49","1621285981"
"-M_uzf_SPgvWkISz-VwF","32","89.599998","49","1621285982"
"-M_uzgHCXvEphkKsSMYQ","32","89.599998","49","1621285984"
